model	status	dbRatios	manualRatios	dbN	manualN	manualRatiosList	manualCapsList
GWC28.30	OK	9	9	9	9	2.06 2.51 3.08 3.54 4.05 4.54 5.09 5.59 6.14	0.865 0.711 0.578 0.504 0.44 0.393 0.35 0.319 0.29
GWL28.30	OK	9	9	9	9	2.06 2.51 3.08 3.54 4.05 4.54 5.09 5.59 6.14	0.865 0.711 0.578 0.504 0.44 0.393 0.35 0.319 0.29
GWC30.32	OK	9	9	9	9	2.03 2.55 3.04 3.52 4 4.55 5.05 5.64 6.05	1.122 0.894 0.75 0.647 0.57 0.501 0.451 0.404 0.376
GWL30.32	OK	9	9	9	9	2.03 2.55 3.04 3.52 4 4.55 5.05 5.64 6.05	1.122 0.894 0.75 0.647 0.57 0.501 0.451 0.404 0.376
GWC32.35	OK	9	9	9	9	2.06 2.54 3.02 3.58 4.05 4.59 5.09 5.57 6.08	1.4175 1.1481 0.9659 0.816 0.72 0.6353 0.5733 0.5236 0.48
GWL32.35	OK	9	9	9	9	2.06 2.54 3.02 3.58 4.05 4.59 5.09 5.57 6.08	1.4175 1.1481 0.9659 0.816 0.72 0.6353 0.5733 0.5236 0.48
GWC36.39	OK	9	9	9	9	1.97 2.45 2.98 3.47 3.95 4.4 5.01 5.47 5.97	2.045 1.644 1.352 1.161 1.02 0.916 0.804 0.737 0.675
GWL36.39	OK	9	9	9	9	1.97 2.45 2.98 3.47 3.95 4.4 5.01 5.47 5.97	2.045 1.644 1.352 1.161 1.02 0.916 0.804 0.737 0.675
GWC39.41	OK	9	9	9	9	1.98 2.47 3.05 3.48 4.05 4.48 5 5.51 5.99	2.872 2.297 1.858 1.63 1.4 1.265 1.135 1.03 0.947
GWL39.41	OK	9	9	9	9	1.98 2.47 3.05 3.48 4.05 4.48 5 5.51 5.99	2.872 2.297 1.858 1.63 1.4 1.265 1.135 1.03 0.947
GWC42.45	OK	9	9	9	9	2 2.55 3.02 3.58 4 4.47 5 5.6 5.93	3.62 2.844 2.394 2.023 1.81 1.619 1.448 1.293 1.221
GWL42.45	OK	9	9	9	9	2 2.55 3.02 3.58 4 4.47 5 5.6 5.93	3.62 2.844 2.394 2.023 1.81 1.619 1.448 1.293 1.221
GWC45.49	OK	9	9	9	9	1.97 2.47 2.89 3.47 3.95 4.37 4.85 5.5 5.98	4.46 3.568 3.041 2.54 2.23 2.012 1.815 1.6 1.471
GWL45.49	OK	9	9	9	9	1.97 2.47 2.89 3.47 3.95 4.37 4.85 5.5 5.98	4.46 3.568 3.041 2.54 2.23 2.012 1.815 1.6 1.471
